Food,Protein,Vitamin A,Vitamin C,Iron,Zinc,Vitamin B12
Maize,3.5,0,0,2.7,1.2,0
Beans,21.4,0,0,5.1,2.9,0
Groundnuts,25.3,0,0,2.3,3.3,0
Sweet potato,1.6,709,2.4,0.6,0.3,0
Spinach,2.9,469,28.1,2.7,0.5,0
Eggs,13.0,140,0,1.2,1.0,1.1
Chicken,27.0,13,0,1.3,2.0,0.3
Beef,26.1,0,0,2.7,4.0,2.5
Milk,3.3,46,0,0.1,0.4,0.9
Carrot,0.9,835,5.9,0.3,0.2,0
Cassava,1.4,13,20.7,0.7,0.3,0
Banana,1.1,3,8.7,0.3,0.2,0
Orange,0.9,3,53.2,0.1,0.1,0
Tilapia,20.1,0,0,0.7,1.1,1.9
Pumpkin,1.0,426,9.0,0.8,0.2,0
Soybeans,36.5,0,0,15.7,4.9,0
Sardine,24.6,30,0,2.9,1.4,8.9