"Category","Male","Female"
"Calcium (mg.)",73.52748810193572,82.44166382107461
"Folate (mcg.)",44.90189579428836,53.46059540622279
"Iron (mg.)",45.81974018283308,56.21719675038446
"Kilocalories (kcal)",43.60341623816363,50.04782770616974
"Niacin (mg.)",49.75357070844965,60.36561278131518
"Proteins (g.)",74.84882186126,83.87379318404473
"Riboflavin (mg.)",39.24753102489146,50.78207495760529
"Thiamin (mg.)",31.91041949694629,38.49259281138428
"Vitamin A (mcg.)",69.98012440706631,76.03939626013627
"Vitamin B12 (mcg.)",70.87809578932305,74.09800808241638
"Vitamin B6 (mg.)",45.85175913504821,55.87121197198888
"Vitamin C (mg.)",86.31024900140837,93.67927199611377
"Zinc (mg.)",36.58264269202052,44.69616445235985